ID_CLIENTE;FECHA_AFILIACIÓN;productos;BIN;BIN REC;FECHA_NACIMIENTO;MORA;CUPO;REGION;SEXO;INGRESOS;banca_cliente;comprasDía;ComprasNoche;comprasfinesdesemana;vecesenmoraultimoaño;numerodellamadasacontactoBAC;CHURN
10245381;30/01/2017;1;486647;AGROINSUMOS;27/02/1998;NORMAL;1000000;BOGOTA;F;600000;AGROPECUARIO;8;0;6;1;1;0
9881199;10/02/2017;1;486647;AGROINSUMOS;25/02/1998;NORMAL;2300000;COSTA;M;600000;PERSONAL;8;1;8;3;3;0
10883854;10/03/2017;1;486647;AGROINSUMOS;24/02/1998;180;1900000;ANTIOQUIA;M;600000;AGROPECUARIO;4;15;2;0;1;0
11079782;25/01/2017;1;486647;AGROINSUMOS;19/02/1998;NORMAL;1700000;SUR;M;600000;AGROPECUARIO;1;5;13;3;1;0
9677997;16/11/2016;1;486647;AGROINSUMOS;14/02/1998;PREJURIDICO;3000000;BOGOTA;M;600000;AGROPECUARIO;2;13;16;2;0;0
9471303;21/12/2016;1;486647;AGROINSUMOS;7/02/1998;NORMAL;1400000;OCCIDENTE;M;600000;PERSONAL;10;9;14;3;5;1
10085187;27/10/2016;1;486647;AGROINSUMOS;5/02/1998;NORMAL;1908000;ORIENTE;F;600000;PERSONAL;4;7;13;1;0;0
11289225;12/05/2017;1;486647;AGROINSUMOS;4/02/1998;PREJURIDICO;2500000;OCCIDENTE;F;600000;AGROPECUARIO;0;4;6;2;2;0
11235496;26/09/2016;1;486647;AGROINSUMOS;2/02/1998;<90;2000000;OCCIDENTE;F;600000;PERSONAL;1;5;4;0;0;0
10074677;15/12/2016;1;486647;AGROINSUMOS;25/01/1998;NORMAL;2800000;BOGOTA;M;600000;MICROFINANZAS;8;6;20;1;0;0
9757664;10/05/2017;1;486647;AGROINSUMOS;24/01/1998;NORMAL;969000;BOGOTA;M;600000;PERSONAL;8;2;6;3;3;0
9775323;24/10/2016;1;486647;AGROINSUMOS;10/01/1998;NORMAL;1300000;OCCIDENTE;M;600000;AGROPECUARIO;6;5;13;2;0;0
12304931;31/08/2016;1;486647;AGROINSUMOS;9/01/1998;NORMAL;900000;SUR;F;600000;PERSONAL;8;11;19;1;1;0
11198157;14/12/2016;1;486647;AGROINSUMOS;9/01/1998;NORMAL;3500000;COSTA;F;600000;PERSONAL;7;8;14;2;2;0
12207747;9/05/2017;1;486647;AGROINSUMOS;4/01/1998;NORMAL;3400000;ANTIOQUIA;F;600000;AGROPECUARIO;7;15;7;2;1;0
5759550;9/02/2017;1;486647;AGROINSUMOS;31/12/1997;NORMAL;2000000;BOGOTA;M;600000;PERSONAL;8;12;7;0;3;0
11326468;5/01/2017;1;486647;AGROINSUMOS;26/12/1997;NORMAL;1400000;SUR;M;600000;AGROPECUARIO;2;14;9;1;1;1
8525692;13/02/2017;1;486647;AGROINSUMOS;23/12/1997;NORMAL;4200000;ANTIOQUIA;M;600000;PERSONAL;4;5;14;1;0;0
11034251;31/01/2017;1;486647;AGROINSUMOS;17/12/1997;NORMAL;1400000;BOGOTA;F;600000;PERSONAL;5;0;5;3;3;0
9646767;19/04/2017;1;486647;AGROINSUMOS;12/12/1997;NORMAL;1332000;ANTIOQUIA;F;600000;PERSONAL;1;5;19;2;1;0
9660714;7/09/2016;2;486647;AGROINSUMOS;10/12/1997;NORMAL;2000000;ANTIOQUIA;F;600000;PERSONAL;6;1;5;3;3;0
7020786;16/02/2017;1;486647;AGROINSUMOS;4/12/1997;NORMAL;3600000;SUR;M;600000;AGROPECUARIO;7;2;17;2;1;0
8615151;28/03/2017;1;486647;AGROINSUMOS;3/12/1997;NORMAL;2160000;ORIENTE;F;600000;PERSONAL;5;10;7;2;3;0
6969308;28/04/2017;2;486647;AGROINSUMOS;3/12/1997;180;600000;SUR;M;600000;PERSONAL;7;3;11;1;0;1
9759305;30/01/2017;1;486647;AGROINSUMOS;1/12/1997;NORMAL;3000000;SUR;M;600000;AGROPECUARIO;10;0;4;3;2;0
9973768;18/10/2016;1;486647;AGROINSUMOS;29/11/1997;NORMAL;2178000;SUR;M;600000;PERSONAL;7;8;13;0;3;0
4158370;23/01/2017;1;486647;AGROINSUMOS;27/11/1997;180;3000000;SANTANDERES;F;600000;PERSONAL;1;11;8;3;1;0
12011796;3/04/2017;1;486647;AGROINSUMOS;26/11/1997;<90;1800000;CAFETERA;M;600000;AGROPECUARIO;8;11;2;1;3;0
9818631;28/03/2017;1;486647;AGROINSUMOS;25/11/1997;NORMAL;3900000;OCCIDENTE;M;600000;AGROPECUARIO;5;7;4;0;2;0
5896644;17/03/2017;1;486647;AGROINSUMOS;26/10/1997;180;2800000;SUR;M;600000;AGROPECUARIO;8;5;13;2;5;1
10266329;1/02/2017;1;486647;AGROINSUMOS;23/10/1997;NORMAL;3600000;SUR;M;600000;AGROPECUARIO;10;3;5;3;1;0
2697255;26/09/2016;1;486647;AGROINSUMOS;20/10/1997;PREJURIDICO;1500000;SUR;M;600000;AGROPECUARIO;0;0;4;3;3;0
9628753;9/03/2017;1;486647;AGROINSUMOS;15/10/1997;NORMAL;700000;OCCIDENTE;F;600000;PERSONAL;1;7;0;2;2;0
2597035;15/11/2016;1;486647;AGROINSUMOS;12/10/1997;180;500000;BOGOTA;F;600000;PERSONAL;3;9;9;1;2;0
6535308;12/12/2016;1;486647;AGROINSUMOS;12/10/1997;<180;3000000;SUR;F;600000;AGROPECUARIO;10;13;18;3;5;1
5815671;5/04/2017;1;486647;AGROINSUMOS;7/10/1997;NORMAL;1500000;SUR;F;600000;MICROFINANZAS;3;0;15;1;1;0
6147088;9/03/2017;1;486647;AGROINSUMOS;30/09/1997;180;1000000;CAFETERA;F;600000;PERSONAL;6;4;1;1;1;0
6537437;26/12/2016;1;486647;AGROINSUMOS;27/09/1997;NORMAL;1134000;COSTA;F;600000;PERSONAL;1;15;1;0;3;0
2520922;7/03/2017;1;486647;AGROINSUMOS;26/09/1997;<90;2226000;OCCIDENTE;M;600000;PERSONAL;5;3;2;2;1;0
10343210;25/04/2017;1;486647;AGROINSUMOS;20/09/1997;NORMAL;4300000;ORIENTE;F;600000;PERSONAL;6;6;8;2;1;0
5983049;5/04/2017;1;486647;AGROINSUMOS;18/09/1997;NORMAL;4000000;COSTA;F;600000;PERSONAL;5;7;1;3;2;0
9186101;15/03/2017;1;486647;AGROINSUMOS;16/09/1997;180;1959000;ANTIOQUIA;M;600000;PERSONAL;3;6;14;1;2;0
10093487;7/04/2017;1;486647;AGROINSUMOS;16/09/1997;NORMAL;1100000;OCCIDENTE;F;600000;MICROFINANZAS;9;1;3;0;3;0
9880739;21/04/2017;1;486647;AGROINSUMOS;11/09/1997;NORMAL;2104000;SUR;M;600000;AGROPECUARIO;0;3;6;3;2;0
7884195;2/08/2016;1;486647;AGROINSUMOS;8/09/1997;NORMAL;1200000;BOGOTA;F;600000;PERSONAL;0;14;1;0;2;0
7865859;9/02/2017;2;486647;AGROINSUMOS;8/09/1997;180;2100000;ANTIOQUIA;M;600000;AGROPECUARIO;1;9;19;1;0;0
10860521;2/03/2017;2;486647;AGROINSUMOS;6/09/1997;NORMAL;1600000;SUR;F;600000;AGROPECUARIO;7;1;13;2;0;0
11584863;14/02/2017;1;486647;AGROINSUMOS;2/09/1997;<180;1500000;SANTANDERES;F;600000;PERSONAL;2;1;6;0;1;0
6735353;29/09/2016;1;486647;AGROINSUMOS;2/09/1997;NORMAL;1700000;SUR;F;600000;PERSONAL;4;14;3;1;4;1
10013409;7/04/2017;1;486647;AGROINSUMOS;30/08/1997;NORMAL;1500000;SANTANDERES;M;600000;AGROPECUARIO;3;2;15;2;3;0
7068463;31/01/2017;1;486647;AGROINSUMOS;28/08/1997;NORMAL;2500000;ORIENTE;F;600000;PERSONAL;2;3;2;0;0;0
10516004;17/01/2017;1;486647;AGROINSUMOS;23/08/1997;NORMAL;1300000;ANTIOQUIA;M;600000;AGROPECUARIO;5;2;17;0;3;0
6368371;10/02/2017;1;486647;AGROINSUMOS;19/08/1997;<180;1000000;ANTIOQUIA;F;600000;AGROPECUARIO;6;10;8;0;1;0
6238264;12/08/2016;1;448185;CLASICA;16/08/1997;NORMAL;2500000;CAFETERA;M;600000;AGROPECUARIO;5;8;4;2;0;0
6370566;17/05/2017;1;486647;AGROINSUMOS;8/08/1997;NORMAL;2100000;COSTA;F;600000;PERSONAL;6;6;14;2;1;0
8640309;26/01/2017;1;486647;AGROINSUMOS;4/08/1997;NORMAL;1200000;SUR;M;600000;AGROPECUARIO;5;10;18;1;4;1
8640309;12/05/2017;1;486647;AGROINSUMOS;26/07/1997;NORMAL;1200000;SUR;M;600000;AGROPECUARIO;8;14;18;3;2;0
6838118;7/03/2017;1;486647;AGROINSUMOS;17/07/1997;NORMAL;3400000;COSTA;M;600000;AGROPECUARIO;1;9;2;3;1;0
1262400;3/03/2017;1;486647;AGROINSUMOS;15/07/1997;NORMAL;1000000;CAFETERA;F;600000;PERSONAL;0;15;8;1;1;0
5256473;5/05/2017;2;486647;AGROINSUMOS;15/07/1997;NORMAL;2000000;SUR;M;600000;AGROPECUARIO;2;2;2;2;3;0
10114483;27/01/2017;1;486647;AGROINSUMOS;14/07/1997;NORMAL;1400000;SUR;F;600000;PERSONAL;5;9;16;3;1;0
1208159;29/03/2017;1;486647;AGROINSUMOS;12/07/1997;NORMAL;1500000;ORIENTE;F;600000;PERSONAL;9;12;2;3;2;1
9080700;27/02/2017;1;486647;AGROINSUMOS;3/07/1997;180;5600000;SUR;M;600000;PERSONAL;6;0;4;2;0;0
12870645;24/01/2017;1;486647;AGROINSUMOS;2/07/1997;<90;900000;COSTA;M;600000;PERSONAL;2;14;20;3;1;0
8490873;23/02/2017;1;486647;AGROINSUMOS;25/06/1997;180;2000000;SANTANDERES;M;600000;AGROPECUARIO;1;3;8;3;2;0
7082174;6/03/2017;1;486647;AGROINSUMOS;20/06/1997;NORMAL;900000;OCCIDENTE;M;600000;AGROPECUARIO;6;0;1;3;1;1
4127118;19/10/2016;1;486647;AGROINSUMOS;2/06/1997;NORMAL;1200000;ANTIOQUIA;F;600000;PERSONAL;3;7;16;0;0;1
5794656;3/04/2017;1;486647;AGROINSUMOS;2/06/1997;NORMAL;1500000;BOGOTA;F;600000;PERSONAL;7;0;16;3;1;0
6711523;20/01/2017;1;486647;AGROINSUMOS;1/06/1997;NORMAL;2300000;SUR;F;600000;AGROPECUARIO;7;13;19;2;3;0
2846408;8/05/2017;1;486647;AGROINSUMOS;30/05/1997;NORMAL;1000000;OCCIDENTE;F;600000;MICROFINANZAS;10;14;10;1;3;0
7085627;25/01/2017;1;486647;AGROINSUMOS;27/05/1997;NORMAL;2500000;SUR;M;600000;AGROPECUARIO;1;3;14;1;0;0
6855083;15/09/2016;1;486647;AGROINSUMOS;27/05/1997;NORMAL;1000000;ANTIOQUIA;M;600000;PERSONAL;2;10;16;3;4;0
10389995;28/02/2017;1;486647;AGROINSUMOS;27/05/1997;NORMAL;18900000;COSTA;F;600000;AGROPECUARIO;2;5;7;2;1;1
6418417;6/03/2017;1;486647;AGROINSUMOS;26/05/1997;PREJURIDICO;1302000;OCCIDENTE;F;600000;PERSONAL;3;5;20;3;4;0
10449662;6/10/2016;1;486647;AGROINSUMOS;21/05/1997;180;2100000;ANTIOQUIA;F;600000;AGROPECUARIO;3;4;11;3;0;0
2342154;17/03/2017;1;448186;AGRARIA;17/05/1997;NORMAL;2286000;OCCIDENTE;F;600000;PERSONAL;8;14;6;3;0;0
2566393;22/12/2016;1;486647;AGROINSUMOS;6/05/1997;NORMAL;1100000;ANTIOQUIA;M;600000;AGROPECUARIO;1;15;3;2;1;0
9562903;6/02/2017;1;486647;AGROINSUMOS;5/05/1997;NORMAL;2000000;SUR;F;600000;AGROPECUARIO;6;10;3;1;4;0
11929819;7/03/2017;1;486647;AGROINSUMOS;5/05/1997;NORMAL;3100000;SUR;M;600000;AGROPECUARIO;0;14;8;2;2;0
8496571;15/11/2016;1;486647;AGROINSUMOS;28/04/1997;<90;1856000;BOGOTA;M;600000;PERSONAL;9;15;4;0;1;0
12232083;21/10/2016;1;486647;AGROINSUMOS;16/04/1997;NORMAL;2700000;ANTIOQUIA;M;600000;AGROPECUARIO;0;9;12;1;2;0
6544072;15/12/2016;1;486647;AGROINSUMOS;5/04/1997;NORMAL;2200000;BOGOTA;F;600000;PERSONAL;10;13;1;2;1;0
12309154;9/12/2016;1;486647;AGROINSUMOS;1/04/1997;NORMAL;1000000;ANTIOQUIA;F;600000;AGROPECUARIO;10;15;11;2;1;0
2402138;18/04/2017;2;486647;AGROINSUMOS;30/03/1997;NORMAL;1608000;COSTA;F;600000;PERSONAL;8;1;0;2;0;1
8614676;26/04/2017;1;486647;AGROINSUMOS;27/03/1997;<90;3800000;ANTIOQUIA;M;600000;PERSONAL;10;6;0;2;1;0
3969604;8/02/2017;1;486647;AGROINSUMOS;27/03/1997;NORMAL;1234000;ANTIOQUIA;F;600000;PERSONAL;8;9;17;0;1;1
6414869;15/06/2016;1;486647;AGROINSUMOS;17/03/1997;NORMAL;4300000;SUR;F;600000;PERSONAL;0;12;17;2;2;0
5950266;27/01/2017;1;486647;AGROINSUMOS;14/03/1997;180;8000000;OCCIDENTE;M;600000;AGROPECUARIO;1;4;0;1;1;0
6316256;21/04/2017;1;486647;AGROINSUMOS;14/03/1997;NORMAL;1100000;SANTANDERES;M;600000;PERSONAL;4;4;5;2;0;0
6896365;6/12/2016;1;486647;AGROINSUMOS;12/03/1997;180;1000000;OCCIDENTE;F;600000;AGROPECUARIO;8;4;10;1;3;0
7555040;16/12/2016;1;486647;AGROINSUMOS;7/03/1997;NORMAL;9100000;OCCIDENTE;M;600000;AGROPECUARIO;8;15;0;3;1;0
7555040;26/04/2017;1;486647;AGROINSUMOS;24/02/1997;NORMAL;9100000;OCCIDENTE;M;600000;AGROPECUARIO;9;1;2;0;2;0
10199238;24/02/2017;1;486647;AGROINSUMOS;21/02/1997;NORMAL;600000;BOGOTA;F;600000;MICROFINANZAS;10;13;14;0;1;0
6825749;21/11/2016;1;486647;AGROINSUMOS;19/02/1997;NORMAL;3100000;ORIENTE;M;600000;AGROPECUARIO;5;11;19;3;4;1
1064334;9/12/2016;1;486647;AGROINSUMOS;16/02/1997;NORMAL;3000000;BOGOTA;F;600000;PERSONAL;5;14;20;2;2;0
2513018;19/04/2017;1;486647;AGROINSUMOS;1/02/1997;NORMAL;1506000;SANTANDERES;F;600000;PERSONAL;10;0;2;2;3;0
6524163;27/12/2016;1;486647;AGROINSUMOS;23/01/1997;NORMAL;1000000;CAFETERA;F;600000;PERSONAL;2;12;14;3;3;0
8473529;27/10/2016;1;486647;AGROINSUMOS;22/01/1997;NORMAL;2200000;SUR;M;600000;AGROPECUARIO;1;9;18;2;1;0
10223290;26/01/2017;1;486647;AGROINSUMOS;10/01/1997;NORMAL;3400000;SUR;M;600000;AGROPECUARIO;0;10;4;1;1;0
2183327;3/03/2017;1;486647;AGROINSUMOS;10/01/1997;NORMAL;2500000;CAFETERA;M;600000;AGROPECUARIO;0;5;4;1;1;0
8994052;9/03/2017;2;486647;AGROINSUMOS;29/12/1996;NORMAL;1234000;SUR;F;600000;PERSONAL;10;5;7;0;3;0
6406622;23/08/2016;1;486647;AGROINSUMOS;28/12/1996;180;1900000;OCCIDENTE;M;600000;PERSONAL;7;6;4;2;5;0
7122607;23/01/2017;1;448185;CLASICA;25/12/1996;NORMAL;1007000;OCCIDENTE;F;600000;MICROFINANZAS;0;4;0;0;3;0
5436849;27/01/2017;1;486647;AGROINSUMOS;25/12/1996;NORMAL;2000000;SANTANDERES;F;600000;PERSONAL;4;13;13;2;1;0
6233172;10/11/2016;1;486647;AGROINSUMOS;24/12/1996;NORMAL;1000000;BOGOTA;F;600000;PERSONAL;3;14;1;3;2;0
6928176;1/03/2017;1;486647;AGROINSUMOS;24/12/1996;NORMAL;700000;CAFETERA;F;600000;AGROPECUARIO;9;10;19;3;1;0
5245122;5/04/2017;1;486647;AGROINSUMOS;23/12/1996;180;760000;CAFETERA;M;600000;AGROPECUARIO;5;9;13;3;3;0
11050621;3/04/2017;1;486647;AGROINSUMOS;23/12/1996;NORMAL;1000000;ANTIOQUIA;F;600000;AGROPECUARIO;4;6;6;1;1;0
9826100;6/12/2016;2;486647;AGROINSUMOS;17/12/1996;NORMAL;2300000;OCCIDENTE;M;600000;AGROPECUARIO;10;15;12;0;2;1
5546098;31/03/2017;1;486647;AGROINSUMOS;15/12/1996;NORMAL;2900000;SUR;M;600000;AGROPECUARIO;4;9;4;3;3;0
5546098;23/01/2017;1;448185;CLASICA;12/12/1996;NORMAL;2900000;SUR;M;600000;AGROPECUARIO;6;10;11;2;1;0
6725440;12/12/2016;1;486647;AGROINSUMOS;10/12/1996;<90;2500000;ORIENTE;M;600000;AGROPECUARIO;9;5;6;1;1;0
5029202;18/04/2017;1;486647;AGROINSUMOS;9/12/1996;NORMAL;540000;CAFETERA;M;600000;PERSONAL;8;5;10;1;2;0
8629627;23/12/2016;1;486647;AGROINSUMOS;8/12/1996;NORMAL;2106000;SUR;F;600000;AGROPECUARIO;4;4;9;3;1;0
5551368;4/04/2017;1;486647;AGROINSUMOS;8/12/1996;NORMAL;2200000;ORIENTE;M;600000;AGROPECUARIO;2;13;0;2;1;0
1951301;30/08/2016;1;486647;AGROINSUMOS;5/12/1996;NORMAL;680000;SANTANDERES;F;600000;PERSONAL;1;0;12;0;1;0
7195268;17/05/2017;1;486647;AGROINSUMOS;3/12/1996;180;1900000;OCCIDENTE;F;600000;PERSONAL;3;3;6;2;1;0
2845427;2/03/2017;1;486647;AGROINSUMOS;29/11/1996;NORMAL;2160000;BOGOTA;F;600000;PERSONAL;3;0;8;0;5;0
9886748;11/04/2017;1;486647;AGROINSUMOS;27/11/1996;NORMAL;2178000;BOGOTA;F;600000;AGROPECUARIO;8;5;20;2;0;0
1187748;27/01/2017;1;486647;AGROINSUMOS;24/11/1996;NORMAL;650000;ORIENTE;F;600000;PERSONAL;3;3;6;0;0;1
10163270;19/10/2016;1;486647;AGROINSUMOS;23/11/1996;NORMAL;600000;COSTA;M;600000;AGROPECUARIO;4;4;14;2;0;0
3792996;12/12/2016;1;486647;AGROINSUMOS;23/11/1996;<90;4300000;SANTANDERES;M;600000;PERSONAL;3;8;5;3;1;0
6233801;18/01/2017;1;486647;AGROINSUMOS;21/11/1996;NORMAL;600000;OCCIDENTE;F;600000;MICROFINANZAS;6;9;9;2;1;0
10404702;22/12/2016;1;448185;CLASICA;21/11/1996;NORMAL;1900000;SANTANDERES;M;600000;AGROPECUARIO;10;4;7;2;0;0
8114539;27/01/2017;1;486647;AGROINSUMOS;20/11/1996;180;4600000;OCCIDENTE;M;600000;AGROPECUARIO;0;12;20;3;0;0
10459340;27/02/2017;1;448185;CLASICA;19/11/1996;NORMAL;2700000;SANTANDERES;M;600000;PERSONAL;10;1;1;1;1;0
1873131;7/04/2017;1;486647;AGROINSUMOS;19/11/1996;NORMAL;600000;OCCIDENTE;F;600000;MICROFINANZAS;7;11;9;2;1;0
9628411;7/03/2017;1;486647;AGROINSUMOS;18/11/1996;180;900000;OCCIDENTE;F;600000;PERSONAL;5;5;20;3;2;0
5969985;29/12/2016;1;448186;AGRARIA;18/11/1996;NORMAL;3650000;ANTIOQUIA;M;600000;PERSONAL;6;10;11;0;1;0
10057315;24/03/2017;1;486647;AGROINSUMOS;15/11/1996;180;1856000;OCCIDENTE;M;600000;PERSONAL;4;15;17;3;1;0
5776015;2/08/2016;1;486647;AGROINSUMOS;10/11/1996;NORMAL;900000;SANTANDERES;M;600000;PERSONAL;4;6;18;0;1;0
1997721;23/01/2017;1;486647;AGROINSUMOS;9/11/1996;NORMAL;2222000;SUR;F;600000;MICROFINANZAS;7;2;5;1;0;0
5705823;15/02/2017;1;448186;AGRARIA;5/11/1996;PREJURIDICO;3400000;CAFETERA;F;600000;PERSONAL;2;14;16;3;1;0
1060072;10/03/2017;1;486647;AGROINSUMOS;1/11/1996;180;540000;BOGOTA;F;600000;PERSONAL;5;2;18;0;2;0
8960366;23/01/2017;1;486647;AGROINSUMOS;30/10/1996;180;1800000;BOGOTA;F;600000;PERSONAL;0;3;1;3;3;0
1944494;21/12/2016;1;486647;AGROINSUMOS;27/10/1996;PREJURIDICO;650000;SANTANDERES;F;600000;PERSONAL;1;15;17;2;1;0
2650732;14/02/2017;1;486647;AGROINSUMOS;26/10/1996;NORMAL;1600000;SANTANDERES;F;600000;PERSONAL;10;5;1;2;0;0
6565307;10/02/2017;1;448185;CLASICA;21/10/1996;NORMAL;636000;COSTA;M;600000;PERSONAL;8;13;4;2;0;0
1288662;18/05/2017;1;486647;AGROINSUMOS;20/10/1996;NORMAL;3060000;CAFETERA;F;600000;PERSONAL;2;11;20;3;2;0
5565566;10/02/2017;1;486647;AGROINSUMOS;17/10/1996;NORMAL;1800000;COSTA;M;600000;PERSONAL;4;9;0;0;3;0
2583641;13/12/2016;1;486647;AGROINSUMOS;15/10/1996;NORMAL;2000000;CAFETERA;M;600000;AGROPECUARIO;10;2;11;0;3;0
5686640;23/01/2017;2;448185;CLASICA;14/10/1996;NORMAL;2610000;BOGOTA;M;600000;AGROPECUARIO;9;12;7;1;4;0
9713660;24/01/2017;1;486647;AGROINSUMOS;14/10/1996;NORMAL;3200000;ORIENTE;M;600000;AGROPECUARIO;5;7;20;0;5;1
6110718;29/03/2017;1;486647;AGROINSUMOS;13/10/1996;NORMAL;2000000;BOGOTA;F;600000;AGROPECUARIO;4;6;1;3;2;0
9660790;7/04/2017;2;486647;AGROINSUMOS;10/10/1996;NORMAL;1300000;SUR;M;600000;AGROPECUARIO;7;9;6;1;3;0
6963240;23/01/2017;1;486647;AGROINSUMOS;9/10/1996;NORMAL;620000;COSTA;F;600000;PERSONAL;10;5;7;3;1;0
2185335;21/12/2016;1;486647;AGROINSUMOS;7/10/1996;NORMAL;1491000;OCCIDENTE;M;600000;PERSONAL;3;4;19;0;1;0
2611777;26/01/2017;1;486647;AGROINSUMOS;7/10/1996;NORMAL;4200000;SANTANDERES;F;600000;PERSONAL;2;9;3;2;2;0
5114086;21/10/2016;1;486647;AGROINSUMOS;6/10/1996;NORMAL;3700000;BOGOTA;M;600000;AGROPECUARIO;4;12;19;1;1;0
1637675;11/11/2016;1;486647;AGROINSUMOS;6/10/1996;NORMAL;2002000;CAFETERA;F;600000;PERSONAL;7;4;3;0;2;0
9387249;23/01/2017;1;448185;CLASICA;2/10/1996;NORMAL;3800000;BOGOTA;F;600000;AGROPECUARIO;5;6;10;2;0;0
2192313;20/10/2016;1;486647;AGROINSUMOS;1/10/1996;NORMAL;2000000;OCCIDENTE;M;600000;AGROPECUARIO;4;14;3;2;1;0
6405875;23/01/2017;1;448185;CLASICA;30/09/1996;NORMAL;2800000;SUR;M;600000;AGROPECUARIO;0;2;0;0;2;1
5445027;11/04/2017;2;486647;AGROINSUMOS;30/09/1996;<90;3200000;ANTIOQUIA;F;600000;PERSONAL;2;14;12;1;4;1
10073852;2/09/2016;1;448186;AGRARIA;29/09/1996;NORMAL;3200000;OCCIDENTE;M;600000;AGROPECUARIO;1;3;4;1;0;0
2837071;23/01/2017;1;448185;CLASICA;27/09/1996;180;2200000;SUR;M;600000;AGROPECUARIO;10;15;19;1;3;0
2837071;23/02/2017;1;486647;AGROINSUMOS;27/09/1996;180;2200000;SUR;M;600000;AGROPECUARIO;10;10;12;3;2;0
9758785;7/03/2017;1;486647;AGROINSUMOS;27/09/1996;<90;2900000;OCCIDENTE;M;600000;AGROPECUARIO;2;9;13;2;3;0
2513317;29/04/2016;1;486647;AGROINSUMOS;25/09/1996;NORMAL;3000000;ANTIOQUIA;M;600000;PERSONAL;2;5;9;0;1;0
8796334;21/04/2016;1;486647;AGROINSUMOS;23/09/1996;NORMAL;1400000;ANTIOQUIA;F;600000;PERSONAL;7;3;15;2;1;0
9766263;22/03/2017;1;486647;AGROINSUMOS;22/09/1996;NORMAL;1500000;CAFETERA;M;600000;AGROPECUARIO;1;6;13;3;2;0
2060719;26/09/2016;1;486647;AGROINSUMOS;21/09/1996;NORMAL;1000000;CAFETERA;M;600000;AGROPECUARIO;6;2;16;1;3;0
5125165;22/12/2016;1;448185;CLASICA;21/09/1996;NORMAL;1420000;CAFETERA;M;600000;PERSONAL;5;13;6;3;3;0
5938920;27/12/2016;2;486647;AGROINSUMOS;21/09/1996;NORMAL;2700000;BOGOTA;F;600000;AGROPECUARIO;8;4;4;0;0;0
5396151;14/02/2017;1;486647;AGROINSUMOS;21/09/1996;PREJURIDICO;2700000;ANTIOQUIA;M;600000;AGROPECUARIO;6;6;0;0;1;0
2136456;18/10/2016;2;486647;AGROINSUMOS;19/09/1996;NORMAL;3000000;OCCIDENTE;M;600000;AGROPECUARIO;4;7;1;3;2;1
6553117;27/09/2016;1;486647;AGROINSUMOS;15/09/1996;NORMAL;500000;CAFETERA;M;600000;PERSONAL;7;5;6;2;3;0
370040;15/12/2016;1;486647;AGROINSUMOS;14/09/1996;NORMAL;6400000;ORIENTE;M;600000;AGROPECUARIO;7;6;2;0;0;0
